iter	Passed	Remaining
0	129	129025
1	130	65224
2	132	44138
3	134	33426
4	135	26974
5	136	22668
6	138	19617
7	139	17319
8	141	15553
9	143	14182
10	144	13023
11	146	12062
12	147	11221
13	149	10531
14	151	9928
15	152	9384
16	154	8908
17	155	8490
18	157	8114
19	158	7773
20	160	7464
21	162	7212
22	163	6956
23	165	6720
24	166	6499
25	168	6300
26	169	6111
27	170	5929
28	172	5759
29	174	5626
30	175	5487
31	176	5353
32	178	5229
33	180	5127
34	181	5011
35	183	4907
36	184	4809
37	186	4723
38	187	4631
39	189	4542
40	190	4463
41	192	4396
42	194	4324
43	195	4251
44	196	4177
45	198	4117
46	199	4055
47	201	3994
48	202	3939
49	204	3891
50	206	3835
51	207	3781
52	208	3732
53	210	3689
54	211	3640
55	213	3596
56	214	3550
57	217	3527
58	218	3489
59	220	3449
60	221	3412
61	223	3380
62	225	3346
63	226	3312
64	228	3286
65	229	3253
66	231	3222
67	232	3191
68	234	3164
69	236	3136
70	237	3107
71	238	3079
72	240	3055
73	242	3030
74	243	3004
75	244	2978
76	246	2955
77	248	2933
78	249	2908
79	250	2885
80	252	2861
81	253	2843
82	254	2814
83	256	2793
84	257	2770
85	258	2750
86	260	2732
87	261	2713
88	263	2694
89	264	2675
90	266	2659
91	267	2641
92	269	2624
93	270	2607
94	272	2593
95	273	2577
96	275	2561
97	276	2545
98	278	2534
99	279	2519
100	281	2503
101	282	2488
102	284	2475
103	285	2463
104	287	2448
105	288	2434
106	290	2420
107	291	2409
108	293	2396
109	294	2383
110	295	2370
111	297	2359
112	298	2346
113	300	2335
114	301	2322
115	303	2313
116	304	2301
117	306	2291
118	308	2281
119	310	2273
120	311	2262
121	312	2250
122	314	2239
123	315	2230
124	317	2221
125	318	2211
126	320	2199
127	321	2189
128	323	2182
129	324	2172
130	325	2162
131	327	2153
132	328	2143
133	330	2135
134	331	2126
135	333	2116
136	334	2108
137	336	2101
138	337	2092
139	339	2083
140	340	2074
141	341	2066
142	343	2058
143	344	2050
144	346	2042
145	348	2036
146	349	2029
147	351	2021
148	352	2013
149	354	2007
150	355	2000
151	357	1992
152	358	1984
153	360	1979
154	361	1973
155	363	1965
156	364	1958
157	366	1952
158	368	1946
159	369	1940
160	370	1931
161	372	1926
162	374	1921
163	375	1915
164	377	1909
165	379	1906
166	381	1900
167	382	1894
168	383	1887
169	385	1882
170	386	1875
171	388	1869
172	389	1863
173	391	1858
174	392	1852
175	394	1846
176	395	1840
177	397	1836
178	399	1831
179	400	1825
180	402	1819
181	403	1814
182	405	1809
183	406	1803
184	407	1797
185	409	1791
186	410	1786
187	412	1781
188	413	1775
189	415	1769
190	416	1765
191	418	1760
192	419	1754
193	420	1748
194	422	1743
195	423	1737
196	425	1732
197	426	1727
198	428	1722
199	429	1718
200	431	1713
201	432	1708
202	433	1703
203	435	1699
204	436	1694
205	438	1689
206	439	1684
207	441	1679
208	442	1675
209	444	1670
210	445	1665
211	446	1660
212	448	1656
213	449	1651
214	451	1647
215	452	1642
216	454	1638
217	455	1634
218	457	1629
219	458	1625
220	459	1621
221	461	1617
222	462	1612
223	464	1608
224	465	1604
225	467	1600
226	468	1595
227	469	1590
228	471	1587
229	473	1583
230	474	1579
231	475	1575
232	477	1570
233	478	1567
234	480	1563
235	481	1559
236	483	1555
237	484	1550
238	486	1548
239	487	1544
240	488	1539
241	490	1536
242	492	1532
243	493	1529
244	494	1525
245	496	1521
246	497	1517
247	499	1514
248	500	1510
249	502	1506
250	503	1502
251	505	1500
252	506	1496
253	508	1492
254	509	1488
255	511	1486
256	512	1482
257	514	1478
258	515	1474
259	517	1472
260	518	1469
261	520	1465
262	521	1461
263	523	1458
264	524	1455
265	526	1452
266	527	1448
267	529	1446
268	530	1442
269	532	1439
270	533	1435
271	535	1432
272	537	1430
273	538	1427
274	540	1424
275	541	1421
276	543	1418
277	545	1415
278	546	1412
279	548	1409
280	549	1407
281	551	1404
282	552	1400
283	554	1397
284	556	1395
285	557	1391
286	558	1388
287	560	1385
288	562	1383
289	563	1380
290	565	1376
291	566	1373
292	568	1371
293	569	1367
294	571	1364
295	572	1361
296	574	1359
297	575	1356
298	577	1352
299	578	1349
300	580	1347
301	581	1344
302	583	1341
303	584	1337
